subj,age,gender,handed,block,cond,setsize,rt,resp,acc,exp
1,23,F,L,Animals,between,1,0.618375,m,1,exp1a
1,23,F,L,Animals,between,1,0.47127,m,1,exp1a
1,23,F,L,Animals,between,1,0.50195,m,1,exp1a
1,23,F,L,Animals,between,1,0.467635,m,1,exp1a
1,23,F,L,Animals,between,1,0.45261,m,1,exp1a
1,23,F,L,Animals,between,1,0.44389,m,1,exp1a
1,23,F,L,Animals,between,1,0.456415,m,1,exp1a
1,23,F,L,Animals,between,1,0.41132,m,1,exp1a
1,23,F,L,Animals,between,1,0.40936,m,1,exp1a
1,23,F,L,Animals,between,1,0.422275,m,1,exp1a
1,23,F,L,Animals,between,1,0.35067,m,1,exp1a
1,23,F,L,Animals,between,1,0.370865,m,1,exp1a
1,23,F,L,Animals,between,1,0.35355,m,1,exp1a
1,23,F,L,Animals,between,1,0.45404,m,1,exp1a
1,23,F,L,Animals,between,1,0.35384,m,1,exp1a
1,23,F,L,Animals,between,1,0.36319,m,1,exp1a
1,23,F,L,Animals,between,1,0.382305,m,1,exp1a
1,23,F,L,Animals,between,1,0.403635,m,1,exp1a
1,23,F,L,Animals,between,1,0.42307,m,1,exp1a
1,23,F,L,Animals,between,1,0.508555,m,1,exp1a
1,23,F,L,Animals,between,1,0.385715,m,1,exp1a
1,23,F,L,Animals,between,1,0.40374,m,1,exp1a
1,23,F,L,Animals,between,1,0.539135,m,1,exp1a
1,23,F,L,Animals,between,1,0.54148,m,1,exp1a
1,23,F,L,Animals,between,2,0.51084,m,1,exp1a
1,23,F,L,Animals,between,2,0.427705,m,1,exp1a
1,23,F,L,Animals,between,2,0.41258,m,1,exp1a
1,23,F,L,Animals,between,2,0.421855,m,1,exp1a
1,23,F,L,Animals,between,2,0.495835,m,1,exp1a
1,23,F,L,Animals,between,2,0.53061,m,1,exp1a
1,23,F,L,Animals,between,2,0.439685,m,1,exp1a
1,23,F,L,Animals,between,2,0.43431,m,1,exp1a
1,23,F,L,Animals,between,2,0.488195,m,1,exp1a
1,23,F,L,Animals,between,2,0.41395,m,1,exp1a
1,23,F,L,Animals,between,2,0.51628,m,1,exp1a
1,23,F,L,Animals,between,2,0.40585,m,1,exp1a
1,23,F,L,Animals,between,2,0.485175,m,1,exp1a
1,23,F,L,Animals,between,2,0.471215,m,1,exp1a
1,23,F,L,Animals,between,2,0.45476,m,1,exp1a
1,23,F,L,Animals,between,2,0.45315,m,1,exp1a
1,23,F,L,Animals,between,2,0.516955,m,1,exp1a
1,23,F,L,Animals,between,2,0.38745,m,1,exp1a
1,23,F,L,Animals,between,2,0.440595,m,1,exp1a
1,23,F,L,Animals,between,2,0.446445,m,1,exp1a
1,23,F,L,Animals,between,2,0.416905,m,1,exp1a
1,23,F,L,Animals,between,2,0.41181,m,1,exp1a
1,23,F,L,Animals,between,2,0.343125,m,1,exp1a
1,23,F,L,Animals,between,2,0.36193,m,1,exp1a
1,23,F,L,Animals,between,4,0.53496,m,1,exp1a
1,23,F,L,Animals,between,4,0.429005,m,1,exp1a
1,23,F,L,Animals,between,4,0.45218,m,1,exp1a
1,23,F,L,Animals,between,4,0.512395,m,1,exp1a
1,23,F,L,Animals,between,4,0.510075,m,1,exp1a
1,23,F,L,Animals,between,4,0.437925,m,1,exp1a
1,23,F,L,Animals,between,4,0.431435,m,1,exp1a
1,23,F,L,Animals,between,4,0.489665,m,1,exp1a
1,23,F,L,Animals,between,4,0.471205,m,1,exp1a
1,23,F,L,Animals,between,4,0.43621,m,1,exp1a
1,23,F,L,Animals,between,4,0.42342,m,1,exp1a
1,23,F,L,Animals,between,4,0.40914,m,1,exp1a
1,23,F,L,Animals,between,4,0.58015,m,1,exp1a
1,23,F,L,Animals,between,4,0.522065,m,1,exp1a
1,23,F,L,Animals,between,4,0.523305,m,1,exp1a
1,23,F,L,Animals,between,4,0.390635,m,1,exp1a
1,23,F,L,Animals,between,4,0.50455,m,1,exp1a
1,23,F,L,Animals,between,4,0.49021,m,1,exp1a
1,23,F,L,Animals,between,4,0.49739,m,1,exp1a
1,23,F,L,Animals,between,4,0.490695,m,1,exp1a
1,23,F,L,Animals,between,4,0.45234,m,1,exp1a
1,23,F,L,Animals,between,4,0.521295,m,1,exp1a
1,23,F,L,Animals,between,4,0.51748,m,1,exp1a
1,23,F,L,Animals,between,8,0.514675,m,1,exp1a
1,23,F,L,Animals,between,8,0.52526,m,1,exp1a
1,23,F,L,Animals,between,8,0.500275,m,1,exp1a
1,23,F,L,Animals,between,8,0.43772,m,1,exp1a
1,23,F,L,Animals,between,8,0.488405,m,1,exp1a
1,23,F,L,Animals,between,8,0.500785,m,1,exp1a
1,23,F,L,Animals,between,8,0.58371,m,1,exp1a
1,23,F,L,Animals,between,8,0.53893,m,1,exp1a
1,23,F,L,Animals,between,8,0.52391,m,1,exp1a
1,23,F,L,Animals,between,8,0.49238,m,1,exp1a
1,23,F,L,Animals,between,8,0.521485,m,1,exp1a
1,23,F,L,Animals,between,8,0.55063,m,1,exp1a
1,23,F,L,Animals,between,8,0.4999,m,1,exp1a
1,23,F,L,Animals,between,8,0.52788,m,1,exp1a
1,23,F,L,Animals,between,8,0.47428,m,1,exp1a
1,23,F,L,Animals,between,8,0.4549,m,1,exp1a
1,23,F,L,Animals,between,8,0.459695,m,1,exp1a
1,23,F,L,Animals,between,8,0.59538,m,1,exp1a
1,23,F,L,Animals,between,8,0.53414,m,1,exp1a
1,23,F,L,Animals,between,8,0.43604,m,1,exp1a
1,23,F,L,Animals,between,8,0.479455,m,1,exp1a
1,23,F,L,Animals,between,8,0.49839,m,1,exp1a
1,23,F,L,Animals,between,8,0.474285,m,1,exp1a
1,23,F,L,Animals,between,8,0.4711,m,1,exp1a
1,23,F,L,Animals,between,16,0.44153,m,1,exp1a
1,23,F,L,Animals,between,16,0.49362,m,1,exp1a
1,23,F,L,Animals,between,16,0.45644,m,1,exp1a
1,23,F,L,Animals,between,16,0.398075,m,1,exp1a
1,23,F,L,Animals,between,16,0.543355,m,1,exp1a
1,23,F,L,Animals,between,16,0.506435,m,1,exp1a
1,23,F,L,Animals,between,16,0.47073,m,1,exp1a
1,23,F,L,Animals,between,16,0.355655,m,1,exp1a
1,23,F,L,Animals,between,16,0.39079,m,1,exp1a
1,23,F,L,Animals,between,16,0.465825,m,1,exp1a
1,23,F,L,Animals,between,16,0.501735,m,1,exp1a
1,23,F,L,Animals,between,16,0.45955,m,1,exp1a
1,23,F,L,Animals,between,16,0.47217,m,1,exp1a
1,23,F,L,Animals,between,16,0.43875,m,1,exp1a
1,23,F,L,Animals,between,16,0.41082,m,1,exp1a
1,23,F,L,Animals,between,16,0.52321,m,1,exp1a
1,23,F,L,Animals,between,16,0.4398,m,1,exp1a
1,23,F,L,Animals,between,16,0.48815,m,1,exp1a
1,23,F,L,Animals,between,16,0.40611,m,1,exp1a
1,23,F,L,Animals,between,16,0.48032,m,1,exp1a
1,23,F,L,Animals,between,16,0.496915,m,1,exp1a
1,23,F,L,Animals,between,16,0.569075,m,1,exp1a
1,23,F,L,Animals,between,16,0.52566,m,1,exp1a
1,23,F,L,Animals,between,16,0.450105,m,1,exp1a
1,23,F,L,Animals,within,1,0.39209,z,1,exp1a
1,23,F,L,Animals,within,1,0.48887,m,1,exp1a
1,23,F,L,Animals,within,1,0.594295,m,1,exp1a
1,23,F,L,Animals,within,1,0.38439,z,1,exp1a
1,23,F,L,Animals,within,1,0.50538,m,1,exp1a
1,23,F,L,Animals,within,1,0.430885,m,1,exp1a
1,23,F,L,Animals,within,1,0.483605,z,1,exp1a
1,23,F,L,Animals,within,1,0.41095,z,1,exp1a
1,23,F,L,Animals,within,1,0.469505,m,1,exp1a
1,23,F,L,Animals,within,1,0.41065,m,1,exp1a
1,23,F,L,Animals,within,1,0.482505,z,1,exp1a
1,23,F,L,Animals,within,1,0.43911,m,1,exp1a
1,23,F,L,Animals,within,1,0.47655,m,1,exp1a
1,23,F,L,Animals,within,1,0.454795,m,1,exp1a
1,23,F,L,Animals,within,1,0.44317,m,1,exp1a
1,23,F,L,Animals,within,1,0.46283,z,1,exp1a
1,23,F,L,Animals,within,1,0.471405,z,1,exp1a
1,23,F,L,Animals,within,1,0.44819,z,1,exp1a
1,23,F,L,Animals,within,1,0.53804,m,1,exp1a
1,23,F,L,Animals,within,1,0.453755,m,1,exp1a
1,23,F,L,Animals,within,1,0.368985,m,1,exp1a
1,23,F,L,Animals,within,1,0.39606,z,1,exp1a
1,23,F,L,Animals,within,1,0.42585,m,1,exp1a
1,23,F,L,Animals,within,1,0.510315,z,1,exp1a
1,23,F,L,Animals,within,1,0.45578,m,1,exp1a
1,23,F,L,Animals,within,1,0.5384,m,1,exp1a
1,23,F,L,Animals,within,1,0.507245,m,1,exp1a
1,23,F,L,Animals,within,1,0.41087,z,1,exp1a
1,23,F,L,Animals,within,1,0.570235,m,1,exp1a
1,23,F,L,Animals,within,1,0.51262,z,1,exp1a
1,23,F,L,Animals,within,1,0.45485,m,1,exp1a
1,23,F,L,Animals,within,1,0.51783,m,1,exp1a
1,23,F,L,Animals,within,1,0.502435,m,1,exp1a
1,23,F,L,Animals,within,1,0.371155,m,1,exp1a
1,23,F,L,Animals,within,2,0.529645,z,1,exp1a
1,23,F,L,Animals,within,2,0.53722,m,1,exp1a
1,23,F,L,Animals,within,2,0.544235,z,1,exp1a
1,23,F,L,Animals,within,2,0.48236,z,1,exp1a
1,23,F,L,Animals,within,2,0.47894,z,1,exp1a
1,23,F,L,Animals,within,2,0.449365,m,1,exp1a
1,23,F,L,Animals,within,2,0.639305,z,1,exp1a
1,23,F,L,Animals,within,2,0.64898,m,1,exp1a
1,23,F,L,Animals,within,2,0.561875,z,1,exp1a
1,23,F,L,Animals,within,2,0.49698,m,1,exp1a
1,23,F,L,Animals,within,2,0.685635,m,1,exp1a
1,23,F,L,Animals,within,2,0.562565,z,1,exp1a
1,23,F,L,Animals,within,2,0.70326,m,1,exp1a
1,23,F,L,Animals,within,2,0.532635,z,1,exp1a
1,23,F,L,Animals,within,2,0.51786,m,1,exp1a
1,23,F,L,Animals,within,2,0.60238,m,1,exp1a
1,23,F,L,Animals,within,2,0.54033,m,1,exp1a
1,23,F,L,Animals,within,2,0.38446,m,1,exp1a
1,23,F,L,Animals,within,2,0.52273,z,1,exp1a
1,23,F,L,Animals,within,2,0.53685,m,1,exp1a
1,23,F,L,Animals,within,2,0.555145,m,1,exp1a
1,23,F,L,Animals,within,2,0.5046,m,1,exp1a
1,23,F,L,Animals,within,2,0.419015,m,1,exp1a
1,23,F,L,Animals,within,2,0.52154,m,1,exp1a
1,23,F,L,Animals,within,2,0.57034,m,1,exp1a
1,23,F,L,Animals,within,2,0.438585,m,1,exp1a
1,23,F,L,Animals,within,2,0.563615,z,1,exp1a
1,23,F,L,Animals,within,2,0.420465,m,1,exp1a
1,23,F,L,Animals,within,2,0.453355,m,1,exp1a
1,23,F,L,Animals,within,2,0.460785,m,1,exp1a
1,23,F,L,Animals,within,2,0.456955,m,1,exp1a
1,23,F,L,Animals,within,2,0.53435,z,1,exp1a
1,23,F,L,Animals,within,2,0.51942,z,1,exp1a
1,23,F,L,Animals,within,2,0.45953,m,1,exp1a
1,23,F,L,Animals,within,2,0.486505,m,1,exp1a
1,23,F,L,Animals,within,2,0.477565,m,1,exp1a
1,23,F,L,Animals,within,4,0.59505,z,1,exp1a
1,23,F,L,Animals,within,4,0.5113,m,1,exp1a
1,23,F,L,Animals,within,4,0.47973,m,1,exp1a
1,23,F,L,Animals,within,4,0.520525,m,1,exp1a
1,23,F,L,Animals,within,4,0.375095,m,1,exp1a
1,23,F,L,Animals,within,4,0.506915,m,1,exp1a
1,23,F,L,Animals,within,4,0.635175,z,1,exp1a
1,23,F,L,Animals,within,4,0.46212,m,1,exp1a
1,23,F,L,Animals,within,4,0.471555,m,1,exp1a
1,23,F,L,Animals,within,4,0.47173,z,1,exp1a
1,23,F,L,Animals,within,4,0.620625,m,1,exp1a
1,23,F,L,Animals,within,4,0.575195,z,1,exp1a
1,23,F,L,Animals,within,4,0.471175,m,1,exp1a
1,23,F,L,Animals,within,4,0.542435,z,1,exp1a
1,23,F,L,Animals,within,4,0.522285,m,1,exp1a
1,23,F,L,Animals,within,4,0.644955,z,1,exp1a
1,23,F,L,Animals,within,4,0.51844,m,1,exp1a
1,23,F,L,Animals,within,4,0.63784,m,1,exp1a
1,23,F,L,Animals,within,4,0.451705,m,1,exp1a
1,23,F,L,Animals,within,4,0.538685,m,1,exp1a
1,23,F,L,Animals,within,4,0.61622,z,1,exp1a
1,23,F,L,Animals,within,4,0.571875,m,1,exp1a
1,23,F,L,Animals,within,4,0.545805,z,1,exp1a
1,23,F,L,Animals,within,4,0.45237,m,1,exp1a
1,23,F,L,Animals,within,4,0.551155,z,1,exp1a
1,23,F,L,Animals,within,4,0.5051,m,1,exp1a
1,23,F,L,Animals,within,4,0.583655,m,1,exp1a
1,23,F,L,Animals,within,4,0.523935,m,1,exp1a
1,23,F,L,Animals,within,4,0.584705,m,1,exp1a
1,23,F,L,Animals,within,4,0.601195,m,1,exp1a
1,23,F,L,Animals,within,4,0.561605,z,1,exp1a
1,23,F,L,Animals,within,4,0.60235,z,1,exp1a
1,23,F,L,Animals,within,4,0.510075,z,1,exp1a
1,23,F,L,Animals,within,4,0.63561,m,1,exp1a
1,23,F,L,Animals,within,4,0.5692,m,1,exp1a
1,23,F,L,Animals,within,8,0.596755,z,1,exp1a
1,23,F,L,Animals,within,8,0.46575,z,1,exp1a
1,23,F,L,Animals,within,8,0.56672,m,1,exp1a
1,23,F,L,Animals,within,8,0.587455,z,1,exp1a
1,23,F,L,Animals,within,8,0.499645,m,1,exp1a
1,23,F,L,Animals,within,8,0.5555,m,1,exp1a
