subj,setsize,cond,rt,acc,lm,log,exp,grp
1,1,between,0.437037083,1,0.439678522,0.431296027,exp1a,11
1,1,within,0.464223529,0.944444444,0.488902805,0.473350271,exp1a,11
1,2,between,0.445300417,1,0.449367038,0.454646638,exp1a,11
1,2,within,0.522205,1,0.502188846,0.508076369,exp1a,11
1,4,between,0.479466522,0.958333333,0.468744072,0.477997248,exp1a,11
1,4,within,0.541925429,0.972222222,0.528760928,0.542802467,exp1a,11
1,8,between,0.50348375,1,0.50749814,0.501347859,exp1a,11
1,8,within,0.573403714,0.972222222,0.581905094,0.577528566,exp1a,11
1,16,between,0.466034375,1,0.585006274,0.524698469,exp1a,11
1,16,within,0.566444559,0.944444444,0.688193424,0.612254664,exp1a,11
2,1,between,0.508908542,1,0.508455867,0.500056005,exp1a,12
2,1,within,0.542075571,0.972222222,0.560198193,0.542172274,exp1a,12
2,2,between,0.47605125,1,0.512819306,0.513655551,exp1a,12
2,2,within,0.576631429,0.972222222,0.576309866,0.583727619,exp1a,12
2,4,between,0.575906087,0.958333333,0.521546184,0.527255097,exp1a,12
2,4,within,0.639765455,0.916666667,0.60853321,0.625282965,exp1a,12
2,8,between,0.520955417,1,0.538999939,0.540854643,exp1a,12
2,8,within,0.659548714,0.972222222,0.672979899,0.66683831,exp1a,12
2,16,between,0.533720417,1,0.573907449,0.554454189,exp1a,12
2,16,within,0.71536,0.916666667,0.801873278,0.708393656,exp1a,12
3,1,between,0.514298333,1,0.507660036,0.502201938,exp1a,13
3,1,within,0.488648,0.972222222,0.512836885,0.488976635,exp1a,13
3,2,between,0.494934375,1,0.514764284,0.518865125,exp1a,13
3,2,within,0.534523472,1,0.534063246,0.543798463,exp1a,13
3,4,between,0.547100625,1,0.528972781,0.535528313,exp1a,13
3,4,within,0.618156176,0.944444444,0.576515967,0.59862029,exp1a,13
3,8,between,0.552453542,1,0.557389774,0.5521915,exp1a,13
3,8,within,0.643509857,0.972222222,0.661421408,0.653442118,exp1a,13
3,16,between,0.546577083,1,0.614223759,0.568854688,exp1a,13
3,16,within,0.644870857,0.972222222,0.831232291,0.708263945,exp1a,13
4,1,between,0.382175417,1,0.385366,0.380160814,exp1a,14
4,1,within,0.41105125,1,0.418321562,0.397317276,exp1a,14
4,2,between,0.383984091,0.916666667,0.389838272,0.391830103,exp1a,14
4,2,within,0.398808103,0.805555556,0.436381444,0.444429917,exp1a,14
4,4,between,0.413147609,0.958333333,0.398782816,0.403499392,exp1a,14
4,4,within,0.541584265,0.944444444,0.472501208,0.491542558,exp1a,14
4,8,between,0.411351875,1,0.416671903,0.415168682,exp1a,14
4,8,within,0.520501333,0.833333333,0.544740737,0.5386552,exp1a,14
4,16,between,0.464756042,1,0.452450078,0.426837971,exp1a,14
4,16,within,0.540948382,0.944444444,0.689219795,0.585767841,exp1a,14
5,1,between,0.452005833,1,0.473905428,0.464345833,exp1a,15
