Subject,setsize,cond,RT,Correct
1,1,bb,0.4473475533333333,1.0
1,1,bt,0.4605328684210526,0.95
1,1,wb,0.45492057321428575,0.9333333333333333
1,1,wt,0.44412946,0.9166666666666666
1,1,ww,0.48141237142857146,0.9333333333333333
1,2,bb,0.45969415999999996,1.0
1,2,bt,0.4870388649122807,0.95
1,2,wb,0.49378600677966106,0.9833333333333333
1,2,wt,0.5148179614035088,0.95
1,2,ww,0.48909488,1.0
1,4,bb,0.5414926931034483,0.9666666666666667
1,4,bt,0.5634852762711864,0.9833333333333333
1,4,wb,0.5852926224137932,0.9666666666666667
1,4,wt,0.5785524381818182,0.9166666666666666
1,4,ww,0.6079307413793104,0.9666666666666667
1,8,bb,0.5345313172413794,0.9666666666666667
1,8,bt,0.5742618474576272,0.9833333333333333
1,8,wb,0.6009989881355933,0.9833333333333333
1,8,wt,0.6076314339285714,0.9333333333333333
1,8,ww,0.6695977999999999,0.9666666666666667
2,1,bb,0.4449661033333333,1.0
2,1,bt,0.4116263614035088,0.95
2,1,wb,0.44200186440677963,0.9833333333333333
2,1,wt,0.4179549616666666,1.0
2,1,ww,0.44675781481481486,0.9
2,2,bb,0.47756239333333333,1.0
2,2,bt,0.4726063796296296,0.9
2,2,wb,0.5065023389830509,0.9833333333333333
2,2,wt,0.46886342105263157,0.95
2,2,ww,0.546337248275862,0.9666666666666667
2,4,bb,0.4699607857142857,0.9333333333333333
2,4,bt,0.5143054410714286,0.9333333333333333
2,4,wb,0.5468342293103448,0.9666666666666667
2,4,wt,0.5074837448275862,0.9666666666666667
2,4,ww,0.5643248933333334,1.0
2,8,bb,0.49272226333333335,1.0
2,8,bt,0.5513932137931035,0.9666666666666667
2,8,wb,0.6024662157894737,0.95
2,8,wt,0.5729603381818181,0.9166666666666666
2,8,ww,0.6571200033333333,1.0
3,1,bb,0.5368078586206897,0.9666666666666667
3,1,bt,0.4837585241379311,0.9666666666666667
3,1,wb,0.5252795745454545,0.9166666666666666
3,1,wt,0.47980555333333336,1.0
3,1,ww,0.5754619966666666,1.0
3,2,bb,0.5203467466666667,1.0
3,2,bt,0.513296775,1.0
3,2,wb,0.5619488661016949,0.9833333333333333
3,2,wt,0.5349564964285715,0.9333333333333333
3,2,ww,0.5662835428571429,0.9333333333333333
3,4,bb,0.5455381300000001,1.0
3,4,bt,0.5519842366666666,1.0
3,4,wb,0.6132582457627119,0.9833333333333333
3,4,wt,0.5575261372881356,0.9833333333333333
3,4,ww,0.64437214,1.0
3,8,bb,0.5647489366666666,1.0
3,8,bt,0.5730255310344827,0.9666666666666667
3,8,wb,0.5880677533333334,1.0
3,8,wt,0.6015921875,0.9333333333333333
3,8,ww,0.6358441689655172,0.9666666666666667
4,1,bb,0.4983814066666667,1.0
4,1,bt,0.49578939649122805,0.95
4,1,wb,0.4712460517241379,0.9666666666666667
4,1,wt,0.5140600086206897,0.9666666666666667
4,1,ww,0.5172174666666667,1.0
4,2,bb,0.5234899896551725,0.9666666666666667
4,2,bt,0.5484870140350877,0.95
4,2,wb,0.5783801633333333,1.0
4,2,wt,0.5793607709090909,0.9166666666666666
4,2,ww,0.5886320433333334,1.0
4,4,bb,0.5342366733333334,1.0
4,4,bt,0.5790847625,0.9333333333333333
4,4,wb,0.5611174101694916,0.9833333333333333
4,4,wt,0.5672476103448276,0.9666666666666667
4,4,ww,0.5760528285714285,0.9333333333333333
4,8,bb,0.5771438233333334,1.0
4,8,bt,0.6515008036363636,0.9166666666666666
4,8,wb,0.616182966101695,0.9833333333333333
4,8,wt,0.6496300359999999,0.8333333333333334
4,8,ww,0.6293842285714286,0.9333333333333333
5,1,bb,0.4849689551724138,0.9666666666666667
5,1,bt,0.46306426964285713,0.9333333333333333
5,1,wb,0.4785251568965517,0.9666666666666667
5,1,wt,0.4656916847457627,0.9833333333333333
5,1,ww,0.48484951428571427,0.9333333333333333
5,2,bb,0.47891268620689653,0.9666666666666667
5,2,bt,0.47974201228070174,0.95
5,2,wb,0.5037914881355933,0.9833333333333333
5,2,wt,0.4903093090909091,0.9166666666666666
5,2,ww,0.5466737448275862,0.9666666666666667
5,4,bb,0.5436899,0.8666666666666667
5,4,bt,0.5300151315789474,0.95
5,4,wb,0.6003686655172413,0.9666666666666667
5,4,wt,0.5855722277777777,0.9
5,4,ww,0.6281656499999999,0.9333333333333333
5,8,bb,0.5291086366666666,1.0
5,8,bt,0.5815831320754717,0.8833333333333333
5,8,wb,0.5946395711864407,0.9833333333333333
5,8,wt,0.6265148428571429,0.9333333333333333
5,8,ww,0.6600314931034483,0.9666666666666667
6,1,bb,0.5003145888888889,0.9
6,1,bt,0.451815214,0.8333333333333334
6,1,wb,0.48417626842105266,0.95
6,1,wt,0.45482149272727274,0.9166666666666666
6,1,ww,0.4858026172413793,0.9666666666666667
6,2,bb,0.5258515933333333,1.0
6,2,bt,0.5139286127272727,0.9166666666666666
6,2,wb,0.5386408866666667,1.0
6,2,wt,0.523239338,0.8333333333333334
6,2,ww,0.5295651566666667,1.0
6,4,bb,0.534642024137931,0.9666666666666667
6,4,bt,0.5914439020408163,0.8166666666666667
6,4,wb,0.5335387827586208,0.9666666666666667
6,4,wt,0.5926996192307692,0.8666666666666667
6,4,ww,0.5625938666666667,0.9
6,8,bb,0.5392161172413793,0.9666666666666667
6,8,bt,0.5579152053571429,0.9333333333333333
6,8,wb,0.6336392561403509,0.95
6,8,wt,0.5824509912280701,0.95
6,8,ww,0.6758494448275862,0.9666666666666667
8,1,bb,0.4900309071428572,0.9333333333333333
