cate,subCate,stimulus,markCode,dur,acc,markCodeResp,rt,resp,onsetT,setsize,subj,age,sex,handed
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_11.jpg,1,1.8,1,55,0,,406.2367578,1,1,30,F,L
num,num,98,9,1.8,1,97,0.5041274,f,408.2555482,1,1,30,F,L
Animals,primate,Stimuli/Animals/primate/primate_10.jpg,1,2.3,1,55,0,,410.2673631,1,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_05.jpg,1,2.3,1,55,0,,412.783103,1,1,30,F,L
num,num,61,9,2.3,1,97,0.4935692,f,415.2971088,1,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/26427266.thl.jpg,2,2.3,1,55,0,,417.807198,1,1,30,F,L
Animals,marsupialia_australia,Stimuli/Animals/marsupialia_australia/marsupialia_04.jpg,1,2.3,1,55,0,,420.3241069,1,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_08.jpg,1,2.3,1,55,0,,422.8393139,1,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush30.jpg,2,2.3,1,55,0,,425.3539437,1,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO31.jpg,2,2.3,1,55,0,,427.8689578,1,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/4004b.jpg,2,2.3,1,55,0,,430.3855132,1,1,30,F,L
num,num,51,9,2.3,1,97,0.5661444,f,432.8995189,1,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_14.jpg,1,1.8,1,55,0,,435.4086752,1,1,30,F,L
num,num,96,9,2.3,1,97,0.6000757,f,437.4216029,1,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/xsaltspoon6.jpg,2,1.8,1,55,0,,439.9321462,1,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/834784_sk_lg.jpg,2,2.3,1,55,0,,441.9487489,1,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_13.jpg,1,1.8,1,55,0,,444.4634798,1,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/26390708.thl.jpg,2,1.8,1,55,0,,446.4807998,1,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_12.jpg,1,2.3,1,55,0,,448.4963248,1,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/cuilllercuiller.jpg,2,2.3,1,55,0,,451.0122949,1,1,30,F,L
Objects,bed,Stimuli/Objects/bed/510F16ita7L._AA262_.jpg,2,2.3,1,55,0,,453.5279977,1,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_01.jpg,1,1.8,1,55,0,,456.045296,1,1,30,F,L
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_09.jpg,1,1.8,1,55,0,,458.0625395,1,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/new08.jpg,2,1.8,1,55,0,,460.0790826,1,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/33r.jpg,2,1.8,1,55,0,,462.0957514,1,1,30,F,L
num,num,85,9,2.3,1,97,0.4839518,f,464.1086275,1,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/serenity2000-canada_1903_2658146.jpg,2,1.8,1,55,0,,466.6179962,1,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/sportmotorcycle.jpg,2,2.3,1,55,0,,468.6335516,1,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_05.jpg,1,2.3,1,55,0,,471.1505833,1,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_17.jpg,1,2.3,1,55,0,,473.6655728,1,1,30,F,L
Objects,bowtie,Stimuli/Objects/bowtie/WT999001L.jpg,2,1.8,1,55,0,,476.182281,1,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_16.jpg,1,1.8,1,55,0,,478.200262,1,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/pot9.jpg,2,1.8,1,55,0,,480.2150499,1,1,30,F,L
Animals,reptile,Stimuli/Animals/reptile/reptile_16.jpg,1,1.8,1,55,0,,482.2320111,1,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/26390697.thl.jpg,2,2.3,1,55,0,,484.2502767,1,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_06.jpg,1,2.3,1,55,0,,486.7683763,1,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_15.jpg,1,2.3,1,55,0,,489.2851371,1,1,30,F,L
