cate,subCate,stimulus
Objects,abacus,Stimuli/Objects/abacus/2sm.jpg
Objects,abacus,Stimuli/Objects/abacus/568eur6.jpg
Objects,abacus,Stimuli/Objects/abacus/ab27.jpg
Objects,abacus,Stimuli/Objects/abacus/ab30-1-900.jpg
Objects,abacus,Stimuli/Objects/abacus/ab44.jpg
Objects,abacus,Stimuli/Objects/abacus/ab52.jpg
Objects,abacus,Stimuli/Objects/abacus/ab69.jpg
Objects,abacus,Stimuli/Objects/abacus/ab91.jpg
Objects,abacus,Stimuli/Objects/abacus/ab96.jpg
Objects,abacus,Stimuli/Objects/abacus/abacus1.jpg
Objects,abacus,Stimuli/Objects/abacus/abacus2.jpg
Objects,abacus,Stimuli/Objects/abacus/AbacusWoodScorekeeper300.jpg
Objects,abacus,Stimuli/Objects/abacus/a_151.wooden-abacus.jpg
Objects,abacus,Stimuli/Objects/abacus/B93.80_Abacus.JPG
Objects,abacus,Stimuli/Objects/abacus/bg-abacus.jpg
Objects,abacus,Stimuli/Objects/abacus/Soroban.JPG
Objects,abacus,Stimuli/Objects/abacus/url.jpg
