cate,subCate,stimulus
Objects,balloon,Stimuli/Objects/balloon/A1balloon.jpg
Objects,balloon,Stimuli/Objects/balloon/A6balloon.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon104.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon116.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon118.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon138.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon143.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon147.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon152.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon153.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon154.jpg
Objects,balloon,Stimuli/Objects/balloon/ABALLOON2.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon29.jpg
Objects,balloon,Stimuli/Objects/balloon/ABALLOON4.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoon55.jpg
Objects,balloon,Stimuli/Objects/balloon/ABALLOON8.jpg
Objects,balloon,Stimuli/Objects/balloon/Aballoonwithh.jpg
