cate,subCate,stimulus
Animals,beast,Stimuli/Animals/beast/beast_01.jpg
Animals,beast,Stimuli/Animals/beast/beast_02.jpg
Animals,beast,Stimuli/Animals/beast/beast_03.jpg
Animals,beast,Stimuli/Animals/beast/beast_04.jpg
Animals,beast,Stimuli/Animals/beast/beast_05.jpg
Animals,beast,Stimuli/Animals/beast/beast_06.jpg
Animals,beast,Stimuli/Animals/beast/beast_07.jpg
Animals,beast,Stimuli/Animals/beast/beast_08.jpg
Animals,beast,Stimuli/Animals/beast/beast_09.jpg
Animals,beast,Stimuli/Animals/beast/beast_10.jpg
Animals,beast,Stimuli/Animals/beast/beast_11.jpg
Animals,beast,Stimuli/Animals/beast/beast_12.jpg
Animals,beast,Stimuli/Animals/beast/beast_13.jpg
Animals,beast,Stimuli/Animals/beast/beast_14.jpg
Animals,beast,Stimuli/Animals/beast/beast_15.jpg
Animals,beast,Stimuli/Animals/beast/beast_16.jpg
Animals,beast,Stimuli/Animals/beast/beast_17.jpg
