cate,subCate,stimulus
Objects,bell,Stimuli/Objects/bell/22863204.thl.jpg
Objects,bell,Stimuli/Objects/bell/26374701.thl.jpg
Objects,bell,Stimuli/Objects/bell/26422101.thl.jpg
Objects,bell,Stimuli/Objects/bell/ABELL.jpg
Objects,bell,Stimuli/Objects/bell/ABELL2.jpg
Objects,bell,Stimuli/Objects/bell/ABELL20.jpg
Objects,bell,Stimuli/Objects/bell/ABELL24.jpg
Objects,bell,Stimuli/Objects/bell/ABELL3.jpg
Objects,bell,Stimuli/Objects/bell/ABELL31.jpg
Objects,bell,Stimuli/Objects/bell/ABELL32.jpg
Objects,bell,Stimuli/Objects/bell/ABELL39.jpg
Objects,bell,Stimuli/Objects/bell/Abell49.jpg
Objects,bell,Stimuli/Objects/bell/Abell50.jpg
Objects,bell,Stimuli/Objects/bell/LF-42BELL-RG.jpg
Objects,bell,Stimuli/Objects/bell/necessities_.jpg
Objects,bell,Stimuli/Objects/bell/necessities_11.jpg
Objects,bell,Stimuli/Objects/bell/necessities_12.jpg
