cate,subCate,stimulus
Objects,binoculars,Stimuli/Objects/binoculars/0053_minox_binoculars.jpg
Objects,binoculars,Stimuli/Objects/binoculars/ABINOCU22.jpg
Objects,binoculars,Stimuli/Objects/binoculars/ABINOCU40.jpg
Objects,binoculars,Stimuli/Objects/binoculars/ABINOCU53.jpg
Objects,binoculars,Stimuli/Objects/binoculars/ABINOCUL4.jpg
Objects,binoculars,Stimuli/Objects/binoculars/ABINOCULA.jpg
Objects,binoculars,Stimuli/Objects/binoculars/Abinoculars10.jpg
Objects,binoculars,Stimuli/Objects/binoculars/Abinoculars15.jpg
Objects,binoculars,Stimuli/Objects/binoculars/Abinoculars20.jpg
Objects,binoculars,Stimuli/Objects/binoculars/binocular22s.jpg
Objects,binoculars,Stimuli/Objects/binoculars/binoculars.jpg
Objects,binoculars,Stimuli/Objects/binoculars/bushnell-natureview-binoculars-8x42.jpg
Objects,binoculars,Stimuli/Objects/binoculars/LEUPOLD 8X42 MESA BINOCULARS.jpg
Objects,binoculars,Stimuli/Objects/binoculars/necessities_7.jpg
Objects,binoculars,Stimuli/Objects/binoculars/necessities_8.jpg
Objects,binoculars,Stimuli/Objects/binoculars/necessities_9.jpg
Objects,binoculars,Stimuli/Objects/binoculars/yukon_22031_binoculars.jpg
