cate,subCate,stimulus
Animals,bird,Stimuli/Animals/bird/bird_01.jpg
Animals,bird,Stimuli/Animals/bird/bird_02.jpg
Animals,bird,Stimuli/Animals/bird/bird_03.jpg
Animals,bird,Stimuli/Animals/bird/bird_04.jpg
Animals,bird,Stimuli/Animals/bird/bird_05.jpg
Animals,bird,Stimuli/Animals/bird/bird_06.jpg
Animals,bird,Stimuli/Animals/bird/bird_07.jpg
Animals,bird,Stimuli/Animals/bird/bird_08.jpg
Animals,bird,Stimuli/Animals/bird/bird_09.jpg
Animals,bird,Stimuli/Animals/bird/bird_10.jpg
Animals,bird,Stimuli/Animals/bird/bird_11.jpg
Animals,bird,Stimuli/Animals/bird/bird_12.jpg
Animals,bird,Stimuli/Animals/bird/bird_13.jpg
Animals,bird,Stimuli/Animals/bird/bird_14.jpg
Animals,bird,Stimuli/Animals/bird/bird_15.jpg
Animals,bird,Stimuli/Animals/bird/bird_16.JPG
Animals,bird,Stimuli/Animals/bird/bird_17.jpg
