cate,subCate,stimulus
Objects,bongo,Stimuli/Objects/bongo/22945915.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/22946035.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/26388718.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/26390661.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/26390663.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/26390667.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/26390697.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/26390708.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/26390728.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/26461075.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/26686609.thl.jpg
Objects,bongo,Stimuli/Objects/bongo/ABONGDRUM.jpg
Objects,bongo,Stimuli/Objects/bongo/ABONGO13.jpg
Objects,bongo,Stimuli/Objects/bongo/ABONGO22.jpg
Objects,bongo,Stimuli/Objects/bongo/ABONGO6.jpg
Objects,bongo,Stimuli/Objects/bongo/ABONGO8.jpg
Objects,bongo,Stimuli/Objects/bongo/ABONGO9.jpg
