cate,subCate,stimulus
Objects,bowl,Stimuli/Objects/bowl/21123_285.jpg
Objects,bowl,Stimuli/Objects/bowl/Abowl46.jpg
Objects,bowl,Stimuli/Objects/bowl/Abowl50.jpg
Objects,bowl,Stimuli/Objects/bowl/Abowl52.jpg
Objects,bowl,Stimuli/Objects/bowl/Abowl54.jpg
Objects,bowl,Stimuli/Objects/bowl/Abowl59.jpg
Objects,bowl,Stimuli/Objects/bowl/Abowl77.jpg
Objects,bowl,Stimuli/Objects/bowl/ABOWL8.jpg
Objects,bowl,Stimuli/Objects/bowl/ABOWL9.jpg
Objects,bowl,Stimuli/Objects/bowl/ABOWLS6.jpg
Objects,bowl,Stimuli/Objects/bowl/AMIXBOWL2.jpg
Objects,bowl,Stimuli/Objects/bowl/Aredglassbowl.jpg
Objects,bowl,Stimuli/Objects/bowl/ASALABOWL.jpg
Objects,bowl,Stimuli/Objects/bowl/ASLVBOWL.jpg
Objects,bowl,Stimuli/Objects/bowl/Asoupbowl8.jpg
Objects,bowl,Stimuli/Objects/bowl/Awhitebowl2.jpg
Objects,bowl,Stimuli/Objects/bowl/AWOODBOWL.jpg
