cate,subCate,stimulus
Objects,bowtie,Stimuli/Objects/bowtie/19778.jpg
Objects,bowtie,Stimuli/Objects/bowtie/22613_Bowtie_Clown_Large.jpg
Objects,bowtie,Stimuli/Objects/bowtie/793_699_popup.jpg
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE.jpg
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE10.jpg
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE2.jpg
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE3.jpg
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE4.jpg
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE5.jpg
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE7.jpg
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE8.jpg
Objects,bowtie,Stimuli/Objects/bowtie/ABOWTIE9.jpg
Objects,bowtie,Stimuli/Objects/bowtie/bottle green bow tie 300.jpg
Objects,bowtie,Stimuli/Objects/bowtie/bowtie-1.jpg
Objects,bowtie,Stimuli/Objects/bowtie/BTS30.jpg
Objects,bowtie,Stimuli/Objects/bowtie/SM01.402cs.jpg
Objects,bowtie,Stimuli/Objects/bowtie/WT999001L.jpg
