cate,subCate,stimulus
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_01.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_02.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_03.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_04.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_05.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_06.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_07.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_08.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_09.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_10.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_11.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_12.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_13.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_14.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_15.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_16.jpg
Animals,butterfly,Stimuli/Animals/butterfly/buttenfly_17.jpg
