cate,subCate,stimulus
Objects,camcorder,Stimuli/Objects/camcorder/00000102404-SonyDCRTRV280Digital8camcorder-large.jpg
Objects,camcorder,Stimuli/Objects/camcorder/152.jpg
Objects,camcorder,Stimuli/Objects/camcorder/aiptek_pocketdv_8900_camcorder.jpg
Objects,camcorder,Stimuli/Objects/camcorder/b2c_l_scd6550.jpg
Objects,camcorder,Stimuli/Objects/camcorder/Camcorder.jpg
Objects,camcorder,Stimuli/Objects/camcorder/camcorderf235f333.jpg
Objects,camcorder,Stimuli/Objects/camcorder/Canon TX1[3].jpg
Objects,camcorder,Stimuli/Objects/camcorder/canonhv10camcorder.jpg
Objects,camcorder,Stimuli/Objects/camcorder/HDRFX1 Camcorder.jpg
Objects,camcorder,Stimuli/Objects/camcorder/HDRFX7[2].jpg
Objects,camcorder,Stimuli/Objects/camcorder/HV20_three_quarter_door_open_highres[2].jpg
Objects,camcorder,Stimuli/Objects/camcorder/JVC_GZ-HD7_vanity_350[2]1.jpg
Objects,camcorder,Stimuli/Objects/camcorder/Sony-DCR-SR1000-camcorder[4]1.jpg
Objects,camcorder,Stimuli/Objects/camcorder/sony-HDR-HC3-camcorder.jpg
Objects,camcorder,Stimuli/Objects/camcorder/sonytrv218_418a.jpg
Objects,camcorder,Stimuli/Objects/camcorder/Style-DV3.jpg
Objects,camcorder,Stimuli/Objects/camcorder/VPC-CA6[5].jpg
