cate,subCate,stimulus
Animals,cat,Stimuli/Animals/cat/cat_01.jpg
Animals,cat,Stimuli/Animals/cat/cat_02.jpg
Animals,cat,Stimuli/Animals/cat/cat_03.jpg
Animals,cat,Stimuli/Animals/cat/cat_04.jpg
Animals,cat,Stimuli/Animals/cat/cat_05.jpg
Animals,cat,Stimuli/Animals/cat/cat_06.jpg
Animals,cat,Stimuli/Animals/cat/cat_07.jpg
Animals,cat,Stimuli/Animals/cat/cat_08.jpg
Animals,cat,Stimuli/Animals/cat/cat_09.jpg
Animals,cat,Stimuli/Animals/cat/cat_10.jpg
Animals,cat,Stimuli/Animals/cat/cat_11.jpg
Animals,cat,Stimuli/Animals/cat/cat_12.jpg
Animals,cat,Stimuli/Animals/cat/cat_13.jpg
Animals,cat,Stimuli/Animals/cat/cat_14.jpg
Animals,cat,Stimuli/Animals/cat/cat_15.jpg
Animals,cat,Stimuli/Animals/cat/cat_16.jpg
Animals,cat,Stimuli/Animals/cat/cat_17.jpg
