cate,subCate,stimulus
Objects,cookpot,Stimuli/Objects/cookpot/0900631b8120f79cM.jpg
Objects,cookpot,Stimuli/Objects/cookpot/26373121.thl.jpg
Objects,cookpot,Stimuli/Objects/cookpot/26373465.thl.jpg
Objects,cookpot,Stimuli/Objects/cookpot/26378587.thl.jpg
Objects,cookpot,Stimuli/Objects/cookpot/26378610.thl.jpg
Objects,cookpot,Stimuli/Objects/cookpot/26378630.thl.jpg
Objects,cookpot,Stimuli/Objects/cookpot/26427266.thl.jpg
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO14.jpg
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO31.jpg
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO44.jpg
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO46.jpg
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO51.jpg
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO56.jpg
Objects,cookpot,Stimuli/Objects/cookpot/porcelain-cookware.jpg
Objects,cookpot,Stimuli/Objects/cookpot/pot10.jpg
Objects,cookpot,Stimuli/Objects/cookpot/pot25.jpg
Objects,cookpot,Stimuli/Objects/cookpot/pot9.jpg
