cate,subCate,stimulus
Animals,cow,Stimuli/Animals/cow/cow_01.jpg
Animals,cow,Stimuli/Animals/cow/cow_02.jpg
Animals,cow,Stimuli/Animals/cow/cow_03.jpg
Animals,cow,Stimuli/Animals/cow/cow_04.jpg
Animals,cow,Stimuli/Animals/cow/cow_05.jpg
Animals,cow,Stimuli/Animals/cow/cow_06.jpg
Animals,cow,Stimuli/Animals/cow/cow_07.jpg
Animals,cow,Stimuli/Animals/cow/cow_08.jpg
Animals,cow,Stimuli/Animals/cow/cow_09.jpg
Animals,cow,Stimuli/Animals/cow/cow_10.jpg
Animals,cow,Stimuli/Animals/cow/cow_11.jpg
Animals,cow,Stimuli/Animals/cow/cow_12.jpg
Animals,cow,Stimuli/Animals/cow/cow_13.jpg
Animals,cow,Stimuli/Animals/cow/cow_14.jpg
Animals,cow,Stimuli/Animals/cow/cow_15.jpg
Animals,cow,Stimuli/Animals/cow/cow_16.jpg
Animals,cow,Stimuli/Animals/cow/cow_17.jpg
