cate,subCate,stimulus
Animals,deer,Stimuli/Animals/deer/deer_01.jpg
Animals,deer,Stimuli/Animals/deer/deer_02.jpg
Animals,deer,Stimuli/Animals/deer/deer_03.jpg
Animals,deer,Stimuli/Animals/deer/deer_04.jpg
Animals,deer,Stimuli/Animals/deer/deer_05.jpg
Animals,deer,Stimuli/Animals/deer/deer_06.jpg
Animals,deer,Stimuli/Animals/deer/deer_07.jpg
Animals,deer,Stimuli/Animals/deer/deer_08.jpg
Animals,deer,Stimuli/Animals/deer/deer_09.jpg
Animals,deer,Stimuli/Animals/deer/deer_10.jpg
Animals,deer,Stimuli/Animals/deer/deer_11.jpg
Animals,deer,Stimuli/Animals/deer/deer_12.jpg
Animals,deer,Stimuli/Animals/deer/deer_13.jpg
Animals,deer,Stimuli/Animals/deer/deer_14.jpg
Animals,deer,Stimuli/Animals/deer/deer_15.jpg
Animals,deer,Stimuli/Animals/deer/deer_16.jpg
Animals,deer,Stimuli/Animals/deer/deer_17.jpg
