cate,subCate,stimulus
Animals,dog,Stimuli/Animals/dog/dog_01.jpg
Animals,dog,Stimuli/Animals/dog/dog_02.jpg
Animals,dog,Stimuli/Animals/dog/dog_03.jpg
Animals,dog,Stimuli/Animals/dog/dog_04.jpg
Animals,dog,Stimuli/Animals/dog/dog_05.jpg
Animals,dog,Stimuli/Animals/dog/dog_06.jpg
Animals,dog,Stimuli/Animals/dog/dog_07.jpg
Animals,dog,Stimuli/Animals/dog/dog_08.jpg
Animals,dog,Stimuli/Animals/dog/dog_09.jpg
Animals,dog,Stimuli/Animals/dog/dog_10.jpg
Animals,dog,Stimuli/Animals/dog/dog_11.jpg
Animals,dog,Stimuli/Animals/dog/dog_12.jpg
Animals,dog,Stimuli/Animals/dog/dog_13.jpg
Animals,dog,Stimuli/Animals/dog/dog_14.jpg
Animals,dog,Stimuli/Animals/dog/dog_15.jpg
Animals,dog,Stimuli/Animals/dog/dog_16.jpg
Animals,dog,Stimuli/Animals/dog/dog_17.jpg
