cate,subCate,stimulus
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_01.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_02.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_03.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_04.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_05.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_06.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_07.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_08.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_09.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_10.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_11.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_12.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_13.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_14.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_15.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_16.jpg
Animals,dragonfly,Stimuli/Animals/dragonfly/dragonfly_17.jpg
