cate,subCate,stimulus
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell01.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell02.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell03.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell04.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell05.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell06.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell07.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell08.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell09.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell10.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell11.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell12.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell13.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell14.JPG
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell15.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell16.jpg
Objects,dumbbell,Stimuli/Objects/dumbbell/dumbell17.jpg
