cate,subCate,stimulus
Animals,fish,Stimuli/Animals/fish/fish_01.jpg
Animals,fish,Stimuli/Animals/fish/fish_02.jpg
Animals,fish,Stimuli/Animals/fish/fish_03.jpg
Animals,fish,Stimuli/Animals/fish/fish_04.jpg
Animals,fish,Stimuli/Animals/fish/fish_05.jpg
Animals,fish,Stimuli/Animals/fish/fish_06.jpg
Animals,fish,Stimuli/Animals/fish/fish_07.jpg
Animals,fish,Stimuli/Animals/fish/fish_08.jpg
Animals,fish,Stimuli/Animals/fish/fish_09.jpg
Animals,fish,Stimuli/Animals/fish/fish_10.jpg
Animals,fish,Stimuli/Animals/fish/fish_11.jpg
Animals,fish,Stimuli/Animals/fish/fish_12.jpg
Animals,fish,Stimuli/Animals/fish/fish_13.jpg
Animals,fish,Stimuli/Animals/fish/fish_14.jpg
Animals,fish,Stimuli/Animals/fish/fish_15.jpg
Animals,fish,Stimuli/Animals/fish/fish_16.jpg
Animals,fish,Stimuli/Animals/fish/fish_17.jpg
