cate,subCate,stimulus
Objects,flashlight,Stimuli/Objects/flashlight/11900.jpg
Objects,flashlight,Stimuli/Objects/flashlight/834784_sk_lg.jpg
Objects,flashlight,Stimuli/Objects/flashlight/834808_sk_lg.jpg
Objects,flashlight,Stimuli/Objects/flashlight/AV-9 No Battery Flashlight.jpg
Objects,flashlight,Stimuli/Objects/flashlight/Flashlight.jpg
Objects,flashlight,Stimuli/Objects/flashlight/freeplay-jonta-flashlight.jpg
Objects,flashlight,Stimuli/Objects/flashlight/freeplay-xray-wind-up-led-flashlight.jpg
Objects,flashlight,Stimuli/Objects/flashlight/Graphite3D.jpg
Objects,flashlight,Stimuli/Objects/flashlight/new04.jpg
Objects,flashlight,Stimuli/Objects/flashlight/new05.jpg
Objects,flashlight,Stimuli/Objects/flashlight/new06.jpg
Objects,flashlight,Stimuli/Objects/flashlight/new08.jpg
Objects,flashlight,Stimuli/Objects/flashlight/sl_tasklight_2l3w.jpg
Objects,flashlight,Stimuli/Objects/flashlight/Small-Dynamo-Flashlight-With-Hand-Crank-Back-up-Power-B000AMKUH6-L.jpg
Objects,flashlight,Stimuli/Objects/flashlight/Streamlight-71001-Jr-Flashlight-W-batteries-black-B00018A3CG-L.jpg
Objects,flashlight,Stimuli/Objects/flashlight/Streamlight-Flashlight-LED-4AA-Yellow-Case-w-7-Blue-LEDs-B0000WUNSC-L.jpg
Objects,flashlight,Stimuli/Objects/flashlight/Streamlight-Stinger-Rechargeable-Flashlight-with-Charger-Black-75014-B00008BFSI-L.jpg
