cate,subCate,stimulus
Animals,frog,Stimuli/Animals/frog/frog_01.jpg
Animals,frog,Stimuli/Animals/frog/frog_02.jpg
Animals,frog,Stimuli/Animals/frog/frog_03.jpg
Animals,frog,Stimuli/Animals/frog/frog_04.jpg
Animals,frog,Stimuli/Animals/frog/frog_05.jpg
Animals,frog,Stimuli/Animals/frog/frog_06.jpg
Animals,frog,Stimuli/Animals/frog/frog_07.jpg
Animals,frog,Stimuli/Animals/frog/frog_08.jpg
Animals,frog,Stimuli/Animals/frog/frog_09.jpg
Animals,frog,Stimuli/Animals/frog/frog_10.jpg
Animals,frog,Stimuli/Animals/frog/frog_11.jpg
Animals,frog,Stimuli/Animals/frog/frog_12.jpg
Animals,frog,Stimuli/Animals/frog/frog_13.jpg
Animals,frog,Stimuli/Animals/frog/frog_14.jpg
Animals,frog,Stimuli/Animals/frog/frog_15.jpg
Animals,frog,Stimuli/Animals/frog/frog_16.jpg
Animals,frog,Stimuli/Animals/frog/frog_17.jpg
