cate,subCate,stimulus
Objects,glove,Stimuli/Objects/glove/7450-Pro-Gloves-Long-Back.jpg
Objects,glove,Stimuli/Objects/glove/ABLACGLOV.jpg
Objects,glove,Stimuli/Objects/glove/ABOXGLOV3.jpg
Objects,glove,Stimuli/Objects/glove/AGLOVES.jpg
Objects,glove,Stimuli/Objects/glove/AGLOVES5.jpg
Objects,glove,Stimuli/Objects/glove/AHOCKGLO2.jpg
Objects,glove,Stimuli/Objects/glove/Amitten9.jpg
Objects,glove,Stimuli/Objects/glove/Aweldersglove.jpg
Objects,glove,Stimuli/Objects/glove/Awinterglov13.jpg
Objects,glove,Stimuli/Objects/glove/Awinterglov14.jpg
Objects,glove,Stimuli/Objects/glove/Awinterglove2.jpg
Objects,glove,Stimuli/Objects/glove/Awinterglove9.jpg
Objects,glove,Stimuli/Objects/glove/black_alpaca_glova.jpg
Objects,glove,Stimuli/Objects/glove/gauntlet_3kev_leather_motorcycle_biker_gloves_b(250).jpg
Objects,glove,Stimuli/Objects/glove/glove1.jpg
Objects,glove,Stimuli/Objects/glove/golf-glove.jpg
Objects,glove,Stimuli/Objects/glove/jp glove top.jpg
