cate,subCate,stimulus
Objects,guitar,Stimuli/Objects/guitar/ACLASSIC5.jpg
Objects,guitar,Stimuli/Objects/guitar/AELCBGU10.jpg
Objects,guitar,Stimuli/Objects/guitar/AELCBGU12.jpg
Objects,guitar,Stimuli/Objects/guitar/AELCBGU13.jpg
Objects,guitar,Stimuli/Objects/guitar/AELCGUI10.jpg
Objects,guitar,Stimuli/Objects/guitar/AELCGUI12.jpg
Objects,guitar,Stimuli/Objects/guitar/AELCGUI13.jpg
Objects,guitar,Stimuli/Objects/guitar/AELCGUI14.jpg
Objects,guitar,Stimuli/Objects/guitar/AELCGUI7.jpg
Objects,guitar,Stimuli/Objects/guitar/AELCGUITA.jpg
Objects,guitar,Stimuli/Objects/guitar/AELECGU15.jpg
Objects,guitar,Stimuli/Objects/guitar/AELECGUI5.jpg
Objects,guitar,Stimuli/Objects/guitar/Aguitar78.jpg
Objects,guitar,Stimuli/Objects/guitar/Classical_Guitar.jpg
Objects,guitar,Stimuli/Objects/guitar/epiphone-jack-casady-electric-rock-bass-guitar.jpg
Objects,guitar,Stimuli/Objects/guitar/guitar-sign-rock-n-roll.jpg
Objects,guitar,Stimuli/Objects/guitar/iaxe_usb_guitar.jpg
