cate,subCate,stimulus
Objects,hairbrush,Stimuli/Objects/hairbrush/300.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/Ahairbrush18.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/Ahairbrush9.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/B0006BKG7U.01-A1NDBS7YGOPBD6._SCLZZZZZZZ_SS500_.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/B000A7Y1X0.01-A3MUP0TQW88EYV._SCLZZZZZZZ_V23462953_SS500_.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/B000A8045S.01-A3MUP0TQW88EYV._SCLZZZZZZZ_V23466783_SS500_.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/Hairbrush.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush12.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush14.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush15.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush17.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush24.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush30.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush34.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush47.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush7.jpg
Objects,hairbrush,Stimuli/Objects/hairbrush/serenity2000-canada_1903_2658146.jpg
