cate,subCate,stimulus
Objects,handbag,Stimuli/Objects/handbag/Ahandbag13.jpg
Objects,handbag,Stimuli/Objects/handbag/Ahandbag15.jpg
Objects,handbag,Stimuli/Objects/handbag/Ahandbag31.jpg
Objects,handbag,Stimuli/Objects/handbag/Ahandbag38.jpg
Objects,handbag,Stimuli/Objects/handbag/Ahandbag51.jpg
Objects,handbag,Stimuli/Objects/handbag/AHANDBAG6.jpg
Objects,handbag,Stimuli/Objects/handbag/Ahandbag69.jpg
Objects,handbag,Stimuli/Objects/handbag/AHANDBAG7.jpg
Objects,handbag,Stimuli/Objects/handbag/Ahandbag74.jpg
Objects,handbag,Stimuli/Objects/handbag/AHANDBAG9.jpg
Objects,handbag,Stimuli/Objects/handbag/APURSE24.jpg
Objects,handbag,Stimuli/Objects/handbag/APURSE46.jpg
Objects,handbag,Stimuli/Objects/handbag/APURSE52.jpg
Objects,handbag,Stimuli/Objects/handbag/APURSE59.jpg
Objects,handbag,Stimuli/Objects/handbag/chicken-purse.jpg
Objects,handbag,Stimuli/Objects/handbag/purses.jpg
Objects,handbag,Stimuli/Objects/handbag/stingray-leather-hobo-handbag-1.jpg
