cate,subCate,stimulus
Objects,hat,Stimuli/Objects/hat/ABLUEHAT.jpg
Objects,hat,Stimuli/Objects/hat/Acasualhat5.jpg
Objects,hat,Stimuli/Objects/hat/AFELTHAT.jpg
Objects,hat,Stimuli/Objects/hat/AFISHHAT2.jpg
Objects,hat,Stimuli/Objects/hat/Aformalhat5.jpg
Objects,hat,Stimuli/Objects/hat/AGREENHAT.jpg
Objects,hat,Stimuli/Objects/hat/Ahat136.jpg
Objects,hat,Stimuli/Objects/hat/Ahatwithfeat7.jpg
Objects,hat,Stimuli/Objects/hat/Ahatwithfeath.jpg
Objects,hat,Stimuli/Objects/hat/Apanamahat2.jpg
Objects,hat,Stimuli/Objects/hat/AREDHAT4.jpg
Objects,hat,Stimuli/Objects/hat/Astrawhat44.jpg
Objects,hat,Stimuli/Objects/hat/Astrawhat49.jpg
Objects,hat,Stimuli/Objects/hat/ASTRHATFL.jpg
Objects,hat,Stimuli/Objects/hat/Atornhat3.jpg
Objects,hat,Stimuli/Objects/hat/AYELLHAT.jpg
Objects,hat,Stimuli/Objects/hat/JS370.jpg
