cate,subCate,stimulus
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_01.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_02.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_03.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_04.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_05.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_06.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_07.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_08.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_09.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_10.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_11.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_12.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_13.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_14.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_15.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_16.jpg
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_17.jpg
