cate,subCate,stimulus
Animals,horse,Stimuli/Animals/horse/horse_01.jpg
Animals,horse,Stimuli/Animals/horse/horse_02.jpg
Animals,horse,Stimuli/Animals/horse/horse_03.jpg
Animals,horse,Stimuli/Animals/horse/horse_04.jpg
Animals,horse,Stimuli/Animals/horse/horse_05.jpg
Animals,horse,Stimuli/Animals/horse/horse_06.jpg
Animals,horse,Stimuli/Animals/horse/horse_07.jpg
Animals,horse,Stimuli/Animals/horse/horse_08.jpg
Animals,horse,Stimuli/Animals/horse/horse_09.jpg
Animals,horse,Stimuli/Animals/horse/horse_10.jpg
Animals,horse,Stimuli/Animals/horse/horse_11.jpg
Animals,horse,Stimuli/Animals/horse/horse_12.jpg
Animals,horse,Stimuli/Animals/horse/horse_13.jpg
Animals,horse,Stimuli/Animals/horse/horse_14.jpg
Animals,horse,Stimuli/Animals/horse/horse_15.jpg
Animals,horse,Stimuli/Animals/horse/horse_16.jpg
Animals,horse,Stimuli/Animals/horse/horse_17.jpg
