cate,subCate,stimulus
Animals,insect,Stimuli/Animals/insect/insect_01.jpg
Animals,insect,Stimuli/Animals/insect/insect_02.jpg
Animals,insect,Stimuli/Animals/insect/insect_03.jpg
Animals,insect,Stimuli/Animals/insect/insect_04.jpg
Animals,insect,Stimuli/Animals/insect/insect_05.jpg
Animals,insect,Stimuli/Animals/insect/insect_06.jpg
Animals,insect,Stimuli/Animals/insect/insect_07.jpg
Animals,insect,Stimuli/Animals/insect/insect_08.jpg
Animals,insect,Stimuli/Animals/insect/insect_09.jpg
Animals,insect,Stimuli/Animals/insect/insect_10.jpg
Animals,insect,Stimuli/Animals/insect/insect_11.jpg
Animals,insect,Stimuli/Animals/insect/insect_12.jpg
Animals,insect,Stimuli/Animals/insect/insect_13.jpg
Animals,insect,Stimuli/Animals/insect/insect_14.jpg
Animals,insect,Stimuli/Animals/insect/insect_15.jpg
Animals,insect,Stimuli/Animals/insect/insect_16.jpg
Animals,insect,Stimuli/Animals/insect/insect_17.jpg
