cate,subCate,stimulus
Objects,kayak,Stimuli/Objects/kayak/22807718.thl.jpg
Objects,kayak,Stimuli/Objects/kayak/96610_09.jpg
Objects,kayak,Stimuli/Objects/kayak/Akayak.jpg
Objects,kayak,Stimuli/Objects/kayak/Breeze_kayak_2.jpg
Objects,kayak,Stimuli/Objects/kayak/KAYAK.JPG
Objects,kayak,Stimuli/Objects/kayak/kayak_complet_1.jpg
Objects,kayak,Stimuli/Objects/kayak/kayak_complet_10.jpg
Objects,kayak,Stimuli/Objects/kayak/kayak_complet_11.jpg
Objects,kayak,Stimuli/Objects/kayak/kayak_complet_12.jpg
Objects,kayak,Stimuli/Objects/kayak/kayak_complet_19.jpg
Objects,kayak,Stimuli/Objects/kayak/kayak_complet_2.jpg
Objects,kayak,Stimuli/Objects/kayak/kayak_complet_20.jpg
Objects,kayak,Stimuli/Objects/kayak/kayak_complet_4.jpg
Objects,kayak,Stimuli/Objects/kayak/L49992_Pink.jpg
Objects,kayak,Stimuli/Objects/kayak/p3203626dt.jpg
Objects,kayak,Stimuli/Objects/kayak/stearns-pivot-ww-400.jpg
Objects,kayak,Stimuli/Objects/kayak/SternsSelfbailinginflatablekayak.jpg
