cate,subCate,stimulus
Objects,lamp,Stimuli/Objects/lamp/Adesklamp25.jpg
Objects,lamp,Stimuli/Objects/lamp/Adesklamp34.jpg
Objects,lamp,Stimuli/Objects/lamp/Alamp102.jpg
Objects,lamp,Stimuli/Objects/lamp/Alamp109.jpg
Objects,lamp,Stimuli/Objects/lamp/Alamp155.jpg
Objects,lamp,Stimuli/Objects/lamp/ALAMP16.jpg
Objects,lamp,Stimuli/Objects/lamp/ALAMP19.jpg
Objects,lamp,Stimuli/Objects/lamp/ALAMP31.jpg
Objects,lamp,Stimuli/Objects/lamp/ALAMP34.jpg
Objects,lamp,Stimuli/Objects/lamp/ALAMP37.jpg
Objects,lamp,Stimuli/Objects/lamp/ALAMP38.jpg
Objects,lamp,Stimuli/Objects/lamp/Alamp96.jpg
Objects,lamp,Stimuli/Objects/lamp/Alamplightf10.jpg
Objects,lamp,Stimuli/Objects/lamp/ATABLAMP4.jpg
Objects,lamp,Stimuli/Objects/lamp/ATABLAMP6.jpg
Objects,lamp,Stimuli/Objects/lamp/ATABLELA4.jpg
Objects,lamp,Stimuli/Objects/lamp/BH.12.06.Princeman.lamp.jpg
