cate,subCate,stimulus
Objects,makeupcompact,Stimuli/Objects/makeupcompact/05086681402.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/262597_fpx.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/262668_fpx.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/31SC4G8FDJL._AA280_.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/31YfapjS3TL._AA250_.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/b_102019.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/b_y10133.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P0754_hero.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P109965_hero.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P139103_hero.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P181006_hero.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P183922_hero.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P187133_hero.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P189207_hero.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P190250_hero.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P190255_hero.jpg
Objects,makeupcompact,Stimuli/Objects/makeupcompact/P95108_hero.jpg
