cate,subCate,stimulus
Objects,motorcycle,Stimuli/Objects/motorcycle/2005-Buell-FireboltXB12R.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/2006-Buell-LightningXB12Sa.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/hawkgt-red-lrg.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle101.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle11.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle14.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle17.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle30.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle33.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle35.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle40.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle45364t4t.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle46.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/Motorcycle903425j2.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/MotoSmall.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/speedbike.jpg
Objects,motorcycle,Stimuli/Objects/motorcycle/sportmotorcycle.jpg
