cate,subCate,stimulus
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_01.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_02.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_03.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_04.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_05.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_06.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_07.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_08.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_09.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_10.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_11.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_12.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_13.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_14.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_15.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_16.jpg
Animals,mustelidae,Stimuli/Animals/mustelidae/mustelidae_17.jpg
