cate,subCate,stimulus
Animals,panthera,Stimuli/Animals/panthera/panthera_01.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_02.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_03.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_04.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_05.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_06.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_07.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_08.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_09.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_10.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_11.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_12.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_13.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_14.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_15.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_16.jpg
Animals,panthera,Stimuli/Animals/panthera/panthera_17.jpg
