cate,subCate,stimulus
Objects,pitcher,Stimuli/Objects/pitcher/APITCHER.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher10.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher12.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher18.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher19.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher25.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher29.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher46.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher54.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher57.jpg
Objects,pitcher,Stimuli/Objects/pitcher/APITCHER6.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Apitcher66.jpg
Objects,pitcher,Stimuli/Objects/pitcher/APITCHER8.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Awaterpitcher.jpg
Objects,pitcher,Stimuli/Objects/pitcher/BH lg iced pitcher.jpg
Objects,pitcher,Stimuli/Objects/pitcher/Pitcher.jpg
Objects,pitcher,Stimuli/Objects/pitcher/water pitcher 8.jpg
