cate,subCate,stimulus
Animals,poultry,Stimuli/Animals/poultry/poultry_01.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_02.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_03.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_04.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_05.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_06.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_07.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_08.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_09.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_10.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_11.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_12.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_13.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_14.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_15.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_16.jpg
Animals,poultry,Stimuli/Animals/poultry/poultry_17.jpg
