cate,subCate,stimulus
Animals,primate,Stimuli/Animals/primate/primate_01.jpg
Animals,primate,Stimuli/Animals/primate/primate_02.jpg
Animals,primate,Stimuli/Animals/primate/primate_03.jpg
Animals,primate,Stimuli/Animals/primate/primate_04.jpg
Animals,primate,Stimuli/Animals/primate/primate_05.jpg
Animals,primate,Stimuli/Animals/primate/primate_06.jpg
Animals,primate,Stimuli/Animals/primate/primate_07.jpg
Animals,primate,Stimuli/Animals/primate/primate_08.jpg
Animals,primate,Stimuli/Animals/primate/primate_09.jpg
Animals,primate,Stimuli/Animals/primate/primate_10.jpg
Animals,primate,Stimuli/Animals/primate/primate_11.jpg
Animals,primate,Stimuli/Animals/primate/primate_12.jpg
Animals,primate,Stimuli/Animals/primate/primate_13.jpg
Animals,primate,Stimuli/Animals/primate/primate_14.jpg
Animals,primate,Stimuli/Animals/primate/primate_15.jpg
Animals,primate,Stimuli/Animals/primate/primate_16.jpg
Animals,primate,Stimuli/Animals/primate/primate_17.jpg
