cate,subCate,stimulus
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_01.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_02.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_03.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_04.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_05.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_06.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_07.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_08.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_09.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_10.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_11.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_12.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_13.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_14.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_15.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_16.jpg
Animals,rabbit,Stimuli/Animals/rabbit/rabbit_17.jpg
