cate,subCate,stimulus
Animals,rat,Stimuli/Animals/rat/rat_01.jpg
Animals,rat,Stimuli/Animals/rat/rat_02.jpg
Animals,rat,Stimuli/Animals/rat/rat_03.jpg
Animals,rat,Stimuli/Animals/rat/rat_04.jpg
Animals,rat,Stimuli/Animals/rat/rat_05.jpg
Animals,rat,Stimuli/Animals/rat/rat_06.jpg
Animals,rat,Stimuli/Animals/rat/rat_07.jpg
Animals,rat,Stimuli/Animals/rat/rat_08.jpg
Animals,rat,Stimuli/Animals/rat/rat_09.jpg
Animals,rat,Stimuli/Animals/rat/rat_10.jpg
Animals,rat,Stimuli/Animals/rat/rat_11.jpg
Animals,rat,Stimuli/Animals/rat/rat_12.jpg
Animals,rat,Stimuli/Animals/rat/rat_13.jpg
Animals,rat,Stimuli/Animals/rat/rat_14.jpg
Animals,rat,Stimuli/Animals/rat/rat_15.jpg
Animals,rat,Stimuli/Animals/rat/rat_16.jpg
Animals,rat,Stimuli/Animals/rat/rat_17.jpg
