cate,subCate,stimulus
Animals,reptile,Stimuli/Animals/reptile/reptile_01.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_02.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_03.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_04.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_05.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_06.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_07.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_08.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_09.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_10.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_11.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_12.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_13.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_14.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_15.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_16.jpg
Animals,reptile,Stimuli/Animals/reptile/reptile_17.jpg
