cate,subCate,stimulus
Objects,ringbinder,Stimuli/Objects/ringbinder/113074SO-1-m.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/113302SO-vinyl-m.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/409785_sk_lg.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/462342_sk_lg.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/964882_sk_lg.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/digitaloutside-l.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/lightvinyl-m.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/pictorial3pc-l.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/s0165607_enl.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/s0214636_enl.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/saunders12530_RingBinder.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/SI747374-m.jpg
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36813NBL_1_1_400.JPG
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36813NM_1_1_400.JPG
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36814NB_1_1_400.JPG
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36834NG_1_1_400.JPG
Objects,ringbinder,Stimuli/Objects/ringbinder/WLJ36849NHR_1_1_400.JPG
