cate,subCate,stimulus
Animals,seashell,Stimuli/Animals/seashell/seashell_01.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_02.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_03.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_04.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_05.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_06.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_07.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_08.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_09.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_10.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_11.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_12.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_13.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_14.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_15.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_16.jpg
Animals,seashell,Stimuli/Animals/seashell/seashell_17.jpg
