cate,subCate,stimulus
Objects,sofa,Stimuli/Objects/sofa/ACOUCH14.jpg
Objects,sofa,Stimuli/Objects/sofa/ACOUCH25.jpg
Objects,sofa,Stimuli/Objects/sofa/allegro-leather-sofa-med2.jpg
Objects,sofa,Stimuli/Objects/sofa/ALOVSEA12.jpg
Objects,sofa,Stimuli/Objects/sofa/ALOVSEA14.jpg
Objects,sofa,Stimuli/Objects/sofa/ALOVSEA15.jpg
Objects,sofa,Stimuli/Objects/sofa/ALOVSEA19.jpg
Objects,sofa,Stimuli/Objects/sofa/ALOVSEAT9.jpg
Objects,sofa,Stimuli/Objects/sofa/APEACHLOV.jpg
Objects,sofa,Stimuli/Objects/sofa/AREDCOUC5.jpg
Objects,sofa,Stimuli/Objects/sofa/dickens-sofa-main.jpg
Objects,sofa,Stimuli/Objects/sofa/HENRY-Sofa-falg8068-05-72X34X34.jpg
Objects,sofa,Stimuli/Objects/sofa/JACKSON-MS6007loveseat59X36X33.jpg
Objects,sofa,Stimuli/Objects/sofa/room-collection-perkoz-sofa.jpg
Objects,sofa,Stimuli/Objects/sofa/ShelterSofaS6.jpg
Objects,sofa,Stimuli/Objects/sofa/sofa-Nicholassingleseater-th.jpg
Objects,sofa,Stimuli/Objects/sofa/wilkie-sofa-250h-new-cd.jpg
