cate,subCate,stimulus
Animals,spider,Stimuli/Animals/spider/spider_01.jpg
Animals,spider,Stimuli/Animals/spider/spider_02.jpg
Animals,spider,Stimuli/Animals/spider/spider_03.jpg
Animals,spider,Stimuli/Animals/spider/spider_04.jpg
Animals,spider,Stimuli/Animals/spider/spider_05.jpg
Animals,spider,Stimuli/Animals/spider/spider_06.jpg
Animals,spider,Stimuli/Animals/spider/spider_07.jpg
Animals,spider,Stimuli/Animals/spider/spider_08.jpg
Animals,spider,Stimuli/Animals/spider/spider_09.jpg
Animals,spider,Stimuli/Animals/spider/spider_10.jpg
Animals,spider,Stimuli/Animals/spider/spider_11.jpg
Animals,spider,Stimuli/Animals/spider/spider_12.jpg
Animals,spider,Stimuli/Animals/spider/spider_13.jpg
Animals,spider,Stimuli/Animals/spider/spider_14.jpg
Animals,spider,Stimuli/Animals/spider/spider_15.jpg
Animals,spider,Stimuli/Animals/spider/Spider_16.jpg
Animals,spider,Stimuli/Animals/spider/spider_17.jpg
