cate,subCate,stimulus
Objects,spoon,Stimuli/Objects/spoon/060350.jpg
Objects,spoon,Stimuli/Objects/spoon/198_cuillere.jpg
Objects,spoon,Stimuli/Objects/spoon/33r.jpg
Objects,spoon,Stimuli/Objects/spoon/4004b.jpg
Objects,spoon,Stimuli/Objects/spoon/720-1.jpg
Objects,spoon,Stimuli/Objects/spoon/cuillere-africaine-dan-ca.jpg
Objects,spoon,Stimuli/Objects/spoon/cuillere.jpg
Objects,spoon,Stimuli/Objects/spoon/cuillere_amuse_bouche_plate.jpg
Objects,spoon,Stimuli/Objects/spoon/cuillere_balance_digitale_verte.jpg
Objects,spoon,Stimuli/Objects/spoon/cuilllercuiller.jpg
Objects,spoon,Stimuli/Objects/spoon/hhar.jpg
Objects,spoon,Stimuli/Objects/spoon/iir.jpg
Objects,spoon,Stimuli/Objects/spoon/rrr.jpg
Objects,spoon,Stimuli/Objects/spoon/spoon3.jpg
Objects,spoon,Stimuli/Objects/spoon/spoonr.jpg
Objects,spoon,Stimuli/Objects/spoon/sppon2.jpg
Objects,spoon,Stimuli/Objects/spoon/xsaltspoon6.jpg
