cate,subCate,stimulus
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_01.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_02.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_03.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_04.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_05.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_06.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_07.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_08.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_09.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_10.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_11.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_12.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_13.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_14.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_15.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_16.jpg
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_17.jpg
