cate,subCate,stimulus
Animals,turtle,Stimuli/Animals/turtle/turtle_01.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_02.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_03.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_04.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_05.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_06.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_07.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_08.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_09.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_10.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_11.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_12.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_13.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_14.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_15.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_16.jpg
Animals,turtle,Stimuli/Animals/turtle/turtle_17.jpg
