cate,subCate,stimulus
Animals,wolf,Stimuli/Animals/wolf/wolf_01.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_02.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_03.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_04.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_05.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_06.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_07.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_08.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_09.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_10.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_11.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_12.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_13.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_14.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_15.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_16.jpg
Animals,wolf,Stimuli/Animals/wolf/wolf_17.jpg
