cate,stimulus
num,21
num,54
num,86
obj,Practice/PracOdd/1.jpg
obj,Practice/PracOdd/2.jpg
obj,Practice/PracOdd/3.jpg
obj,Practice/PracOdd/4.jpg
obj,Practice/PracOdd/5.jpg
obj,Practice/PracOdd/6.jpg
obj,Practice/PracOdd/7.jpg
obj,Practice/PracOdd/8.jpg
obj,Practice/PracOdd/9.jpg
obj,Practice/PracOdd/10.jpg
obj,Practice/PracOdd/11.jpg
obj,Practice/PracOdd/12.jpg
obj,Practice/PracOdd/13.jpg
obj,Practice/PracOdd/14.jpg
obj,Practice/PracOdd/15.jpg
obj,Practice/PracOdd/16.jpg
obj,Practice/PracOdd/17.jpg
