round,cate,stimulus,testAns
1,1,Practice/PracTarg/01.jpg,f
1,1,Practice/PracTarg/02.jpg,f
1,1,Practice/PracTest/01_1.jpg,j
1,1,Practice/PracTest/02_1.jpg,j
2,1,Practice/PracTarg/01.jpg,f
2,1,Practice/PracTarg/02.jpg,f
2,1,Practice/PracTest/01_2.jpg,j
2,1,Practice/PracTest/02_2.jpg,j
3,1,Practice/PracTarg/01.jpg,f
3,1,Practice/PracTarg/02.jpg,f
3,1,Practice/PracTest/01_3.jpg,j
3,1,Practice/PracTest/02_3.jpg,j
1,2,Practice/PracTarg/04.jpg,f
1,2,Practice/PracTarg/05.jpg,f
1,2,Practice/PracTest/04_1.jpg,j
1,2,Practice/PracTest/05_1.jpg,j
2,2,Practice/PracTarg/04.jpg,f
2,2,Practice/PracTarg/05.jpg,f
2,2,Practice/PracTest/04_2.jpg,j
2,2,Practice/PracTest/05_2.jpg,j
3,2,Practice/PracTarg/04.jpg,f
3,2,Practice/PracTarg/05.jpg,f
3,2,Practice/PracTest/04_3.jpg,j
3,2,Practice/PracTest/05_3.jpg,j
