cate,left,right,ans,Correct
1,Practice/PracTarg/01-removebg-preview.png,Practice/PracSearch/413-removebg-preview.png,down,1
1,Practice/PracTarg/01-removebg-preview.png,Practice/PracSearch/27-removebg-preview.png,down,1
1,Practice/PracTarg/02-removebg-preview.png,Practice/PracSearch/22-removebg-preview.png,down,1
1,Practice/PracTarg/02-removebg-preview.png,Practice/PracSearch/21-removebg-preview.png,down,1
1,Practice/PracTarg/01-removebg-preview.png,Practice/PracSearch/22-removebg-preview.png,down,1
1,Practice/PracSearch/415-removebg-preview.png,Practice/PracTarg/01-removebg-preview.png,down,1
1,Practice/PracSearch/27-removebg-preview.png,Practice/PracTarg/01-removebg-preview.png,down,1
1,Practice/PracSearch/22-removebg-preview.png,Practice/PracTarg/02-removebg-preview.png,down,1
1,Practice/PracSearch/21-removebg-preview.png,Practice/PracTarg/02-removebg-preview.png,down,1
1,Practice/PracSearch/22-removebg-preview.png,Practice/PracTarg/01-removebg-preview.png,down,1
1,Practice/PracSearch/411-removebg-preview.png,Practice/PracSearch/22-removebg-preview.png,up,1
1,Practice/PracSearch/21-removebg-preview.png,Practice/PracSearch/41-removebg-preview.png,up,1
1,Practice/PracSearch/22-removebg-preview.png,Practice/PracSearch/46-removebg-preview.png,up,1
1,Practice/PracSearch/43-removebg-preview.png,Practice/PracSearch/415-removebg-preview.png,up,1
1,Practice/PracSearch/45-removebg-preview.png,Practice/PracSearch/27-removebg-preview.png,up,1
1,Practice/PracSearch/23-removebg-preview.png,Practice/PracSearch/29-removebg-preview.png,up,1
1,Practice/PracSearch/25-removebg-preview.png,Practice/PracSearch/211-removebg-preview.png,up,1
1,Practice/PracSearch/210-removebg-preview.png,Practice/PracSearch/216-removebg-preview.png,up,1
1,Practice/PracSearch/212-removebg-preview.png,Practice/PracSearch/24-removebg-preview.png,up,1
1,Practice/PracSearch/216-removebg-preview.png,Practice/PracSearch/28-removebg-preview.png,up,1
2,Practice/PracTarg/04-removebg-preview.png,Practice/PracSearch/43-removebg-preview.png,down,1
2,Practice/PracTarg/05-removebg-preview.png,Practice/PracSearch/44-removebg-preview.png,down,1
2,Practice/PracTarg/04-removebg-preview.png,Practice/PracSearch/41-removebg-preview.png,down,1
2,Practice/PracTarg/05-removebg-preview.png,Practice/PracSearch/43-removebg-preview.png,down,1
2,Practice/PracTarg/05-removebg-preview.png,Practice/PracSearch/411-removebg-preview.png,down,1
2,Practice/PracSearch/21-removebg-preview.png,Practice/PracTarg/04-removebg-preview.png,down,1
2,Practice/PracSearch/23-removebg-preview.png,Practice/PracTarg/05-removebg-preview.png,down,1
2,Practice/PracSearch/41-removebg-preview.png,Practice/PracTarg/04-removebg-preview.png,down,1
2,Practice/PracSearch/46-removebg-preview.png,Practice/PracTarg/05-removebg-preview.png,down,1
2,Practice/PracSearch/411-removebg-preview.png,Practice/PracTarg/05-removebg-preview.png,down,1
2,Practice/PracSearch/21-removebg-preview.png,Practice/PracSearch/41-removebg-preview.png,up,1
2,Practice/PracSearch/27-removebg-preview.png,Practice/PracSearch/22-removebg-preview.png,up,1
2,Practice/PracSearch/41-removebg-preview.png,Practice/PracSearch/43-removebg-preview.png,up,1
2,Practice/PracSearch/43-removebg-preview.png,Practice/PracSearch/27-removebg-preview.png,up,1
2,Practice/PracSearch/45-removebg-preview.png,Practice/PracSearch/411-removebg-preview.png,up,1
2,Practice/PracSearch/43-removebg-preview.png,Practice/PracSearch/412-removebg-preview.png,up,1
2,Practice/PracSearch/44-removebg-preview.png,Practice/PracSearch/413-removebg-preview.png,up,1
2,Practice/PracSearch/411-removebg-preview.png,Practice/PracSearch/414-removebg-preview.png,up,1
2,Practice/PracSearch/46-removebg-preview.png,Practice/PracSearch/415-removebg-preview.png,up,1
2,Practice/PracSearch/47-removebg-preview.png,Practice/PracSearch/416-removebg-preview.png,up,1
