cate,subCate,stimulus,mkCate
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\2sm-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\568eur6-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\ab27-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\ab30-1-900-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\ab44-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\ab52-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\ab69-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\ab91-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\ab96-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\abacus1-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\abacus2-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\AbacusWoodScorekeeper300-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\a_151.wooden-abacus-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\B93.80_Abacus-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\bg-abacus-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\Soroban-removebg-preview.png,200
Objects,abacus,U:\Documents\DCC\exp4\Stimuli\Objects\abacus\url-removebg-preview.png,200
