cate,subCate,stimulus,mkCate
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\A1balloon-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\A6balloon-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon104-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon116-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon138-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon143-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon147-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon152-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon153-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon154-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\ABALLOON2-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon29-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\ABALLOON4-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon55-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\ABALLOON8-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoonwithh-removebg-preview.png,201
Objects,balloon,U:\Documents\DCC\exp4\Stimuli\Objects\balloon\Aballoon118-removebg-preview.png,201
