cate,subCate,stimulus,mkCate
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\03f2065d3e5498b2d29081dfff5334c9.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\0a69f8c74afa304a1cf958f0b9999476.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\1726d8a07aa50227e6244746a5288993.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\22bf6b4510b5b0f9555382f73fc920b2.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\25636b57d2979cdfe24864060dfc09dd.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\2882e2d9d62c5fbaaeb806f2a27d54ca.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\4dad74fe6ebb0e00455b1491c1c4739f.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\5fcdad53c316546a905e4ef209cc08d0.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\74c63ad9dcc61d4d1eceb18e9777644e.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\94905914005d66b09ca5a3a950ec3cd3.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\c45d77ab29faef82ad41b416f276741b.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\d924d39d39df69e192aa7db6f2e00117.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\dce17bac50eae0f58093db75e14a1636.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\eec0d0020cee75dd1388808d6bef9dc9.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\ef47545d505572c5d3b3451c85c83622.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\fd1a1ba35c1437816eecc6706032bd00.png,13
Animals,beast,U:\Documents\DCC\exp4\Stimuli\Animals\beast\fea3935bda1acf0fa6510bf33e83b550.png,13
