cate,subCate,stimulus,mkCate
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\510F16ita7L._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51442C3RKNL._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51BSS7H4S1L._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51EXZZAFCEL._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51F6GJHNEFL._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51MGXGZ9TYL._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51Mhaa73IRL._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51V0Ed8LSLL._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51VMwTHx86L._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51wbushUphL._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\6152JCYP56L._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\615hQHOF8+L._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\61KBF5S9JKL._AA262_-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\furniture_4-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\furniture_5-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\furniture_6-removebg-preview.png,202
Objects,bed,U:\Documents\DCC\exp4\Stimuli\Objects\bed\51tCXjB7owL._AA262_-1-removebg-preview.png,202
