cate,subCate,stimulus,mkCate
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\22863204.thl-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\26374701.thl-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\26422101.thl-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\ABELL-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\ABELL2-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\ABELL20-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\ABELL24-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\ABELL3-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\ABELL31-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\ABELL32-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\ABELL39.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\Abell49-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\Abell50-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\LF-42BELL-RG-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\necessities_-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\necessities_11-removebg-preview.png,203
Objects,bell,U:\Documents\DCC\exp4\Stimuli\Objects\bell\necessities_12-removebg-preview.png,203
