cate,subCate,stimulus,mkCate
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\0053_minox_binoculars-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\ABINOCU22-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\ABINOCU40-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\ABINOCU53-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\ABINOCUL4-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\ABINOCULA-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\Abinoculars10-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\Abinoculars15-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\Abinoculars20-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\binocular22s-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\binoculars-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\bushnell-natureview-binoculars-8x42-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\LEUPOLD_8X42_MESA_BINOCULARS-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\necessities_7-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\necessities_8-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\necessities_9-removebg-preview.png,204
Objects,binoculars,U:\Documents\DCC\exp4\Stimuli\Objects\binoculars\yukon_22031_binoculars-removebg-preview.png,204
