cate,subCate,stimulus,mkCate
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\26724117b176b5574beedd16babbddf9.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\2925bff3d5c079f476cf2835c34a3956.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\4d9e347fe8ac425b63f65e8c25cdf2f4.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\57948364641804a374454871cbacf3ec.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\5ba382a2a2fbe8a26ea68599a4cf922c.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\5bc850da3a4d6f8b60b534f711644cab.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\617075f091bf5efb46909f9efed4bde0.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\64be8e76146c5b3d7d584d6596697876.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\75f2f9f1b85a5468fbd88e25998b4155.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\809b479d39b6649ca6db6de9794f7e90.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\87fe177f07fc2f5a7df0da0819f57ee6.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\8f82802874502f735fa41673bf7cb42b.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\91b1f3b0e50ffa576575ad78cb308df5.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\b0ab4a03551a7c5f77e426290b053431.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\b197dc28c4db9ae996cadccdc6efdb46.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\b583ff67973d2482d4b4085e9d3381a0.png,15
Animals,bird,U:\Documents\DCC\exp4\Stimuli\Animals\bird\be292f33a9df18655d1cb7251b1a367d.png,15
