cate,subCate,stimulus,mkCate
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\22945915.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\22946035.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\26388718.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\26390661.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\26390663.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\26390667.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\26390697.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\26390708.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\26390728.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\26461075.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\26686609.thl-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\ABONGDRUM-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\ABONGO13-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\ABONGO22-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\ABONGO6-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\ABONGO8-removebg-preview.png,205
Objects,bongo,U:\Documents\DCC\exp4\Stimuli\Objects\bongo\ABONGO9-removebg-preview.png,205
